date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:01:57	56860/56860	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Dec%202024%2021:22:32%20GMT	https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2	C:/My%20Web%20Sites/PRESALEPAGE/jackfirst-bcb76a.ingress-florina.ewp.live/indexba53.html	(from )
03:01:57	67/67	---M--	200	added ('OK')	text/plain	date:Fri,%2006%20Dec%202024%2021:31:57%20GMT	https://jackfirst-bcb76a.ingress-florina.ewp.live/robots.txt		(from )
03:01:58	1771/1771	---M-Z	200	added ('OK')	application/rss+xml	etag:W/%2297a5354cb3eeba2760a5772675e47bc8%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/?feed=rss2	C:/My%20Web%20Sites/PRESALEPAGE/jackfirst-bcb76a.ingress-florina.ewp.live/indexd784.html	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:01:59	87553/87553	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264ecd5ef-15601%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/PRESALEPAGE/jackfirst-bcb76a.ingress-florina.ewp.live/wp-includes/js/jquery/jquery.minf43b.js	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:01:59	1725/1725	---M-Z	200	added ('OK')	application/rss+xml	etag:W/%2297a5354cb3eeba2760a5772675e47bc8%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/?feed=comments-rss2	C:/My%20Web%20Sites/PRESALEPAGE/jackfirst-bcb76a.ingress-florina.ewp.live/indexa6da.html	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:01:59	766/766	---M-Z	200	added ('OK')	application/rss+xml	etag:W/%2297a5354cb3eeba2760a5772675e47bc8%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/?feed=rss2&page_id=2	C:/My%20Web%20Sites/PRESALEPAGE/jackfirst-bcb76a.ingress-florina.ewp.live/index76cc.html	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:02:00	13577/13577	---M-Z	200	added ('OK')	application/javascript	etag:W/%226482bd64-3509%22	https://jackfirst-bcb76a.ingress-florina.ewp.live/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/PRESALEPAGE/jackfirst-bcb76a.ingress-florina.ewp.live/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:02:01	189908/189908	---M-Z	200	added ('OK')	application/json	date:Fri,%2006%20Dec%202024%2021:30:37%20GMT	https://jackfirst-bcb76a.ingress-florina.ewp.live/index.php?rest_route=/	C:/My%20Web%20Sites/PRESALEPAGE/jackfirst-bcb76a.ingress-florina.ewp.live/index52f0.json	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:02:02	4561/4561	---M-Z	200	added ('OK')	application/json	date:Fri,%2006%20Dec%202024%2021:30:37%20GMT	https://jackfirst-bcb76a.ingress-florina.ewp.live/index.php?rest_route=/wp/v2/pages/2	C:/My%20Web%20Sites/PRESALEPAGE/jackfirst-bcb76a.ingress-florina.ewp.live/index2c39.json	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
03:02:04	974/974	---M-Z	200	added ('OK')	text/xml	date:Fri,%2006%20Dec%202024%2021:32:04%20GMT	https://jackfirst-bcb76a.ingress-florina.ewp.live/xmlrpc.php?rsd	C:/My%20Web%20Sites/PRESALEPAGE/jackfirst-bcb76a.ingress-florina.ewp.live/xmlrpc0db0.php	(from https://jackfirst-bcb76a.ingress-florina.ewp.live/?page_id=2)
